Date,ORCL,AMZN,INTC,MSFT,AMD,NVDA,META,GOOG,AVGO,AAPL
2012-10-10,30.580000,12.249500,21.760000,28.980000,3.150000,3.167500,19.639999,18.544491,32.590000,22.889643
2012-10-11,30.719999,12.211000,21.680000,28.950001,3.200000,3.185000,19.750000,18.716845,32.930000,22.432142
2012-10-12,31.000000,12.118000,21.480000,29.200001,2.740000,3.157500,19.520000,18.549223,32.980000,22.489643
2012-10-15,31.299999,12.209000,21.730000,29.510000,2.750000,3.197500,19.520000,18.455324,33.189999,22.670000
2012-10-16,31.870001,12.197000,22.350000,29.490000,2.680000,3.290000,19.480000,18.547977,34.349998,23.206785
2012-10-17,31.230000,12.374500,21.790001,29.590000,2.770000,3.265000,19.879999,18.816719,34.110001,23.021786
2012-10-18,31.120001,12.242500,21.670000,29.500000,2.620000,3.215000,18.980000,17.310118,34.049999,22.594286
2012-10-19,30.480000,12.000000,21.270000,28.639999,2.180000,3.027500,19.000000,16.981100,33.189999,21.780001
2012-10-22,30.799999,11.689000,21.459999,28.000000,2.100000,2.992500,19.320000,16.903393,33.400002,22.643929
2012-10-23,30.590000,11.715500,21.590000,28.049999,2.140000,3.082500,19.500000,16.945234,33.240002,21.905714
2012-10-24,30.600000,11.424500,21.459999,27.900000,2.080000,3.042500,23.230000,16.869270,32.730000,22.029642
2012-10-25,30.860001,11.146000,21.690001,27.879999,2.120000,3.045000,22.559999,16.880728,33.700001,21.769285
2012-10-26,30.990000,11.912000,21.950001,28.209999,2.070000,3.012500,21.940001,16.815722,33.830002,21.571428
2012-10-31,31.080000,11.644500,21.629999,28.540001,2.050000,2.995000,21.110001,16.943991,33.029999,21.261429
2012-11-01,31.480000,11.607000,22.260000,29.520000,2.140000,3.137500,21.209999,17.125559,34.500000,21.305000
2012-11-02,31.209999,11.621000,22.059999,29.500000,2.100000,3.122500,21.180000,17.133778,33.970001,20.600000
2012-11-05,31.250000,11.716500,21.840000,29.629999,2.110000,3.255000,21.250000,17.010241,34.320000,20.879286
2012-11-06,31.629999,11.878000,21.730000,29.860001,2.070000,3.252500,21.170000,16.979357,35.279999,20.816071
2012-11-07,30.790001,11.603000,20.910000,29.080000,2.010000,3.152500,20.469999,16.615721,33.959999,19.928572
2012-11-08,30.420000,11.367500,20.830000,28.809999,1.980000,3.170000,19.990000,16.246355,33.840000,19.205357
2012-11-09,30.350000,11.315500,20.799999,28.830000,2.030000,3.047500,19.209999,16.513851,33.480000,19.537857
2012-11-12,30.299999,11.323500,20.770000,28.219999,1.990000,2.980000,20.070000,16.585335,33.610001,19.386786
2012-11-13,30.020000,11.330000,20.280001,27.090000,2.090000,2.957500,19.860001,16.414724,33.279999,19.389286
2012-11-14,29.580000,11.147500,19.959999,26.840000,1.930000,2.885000,22.360001,16.252831,33.029999,19.174286
2012-11-15,29.950001,11.030000,20.030001,26.660000,1.870000,2.897500,22.170000,16.121075,32.250000,18.772142
2012-11-16,30.000000,11.261500,20.190001,26.520000,1.860000,2.845000,23.559999,16.119081,31.940001,18.845715
